Feature,Total,Zero_Count,One_Count,Zero_Percent,Positive_Percent
CADD_phred,368851,37870,330981,10.267018389539407,89.7329816104606
GERP++RS,368851,42747,326104,11.5892325085197,88.4107674914803
polyphen2_HDIV_score,368851,159477,209374,43.236157689690415,56.763842310309585
AF_avg,368851,199338,169513,54.04296043659906,45.95703956340094
polyphen2_HVAR_score,368851,202042,166809,54.77604778081122,45.22395221918878
metaRNN_score,368851,220589,148262,59.80436544837888,40.19563455162112
metaLR_score,368851,224539,144312,60.87525857324503,39.12474142675498
varity_r_score,368851,263222,105629,71.3626911679784,28.637308832021603
alphamissense_score,368851,281226,87625,76.24379491989991,23.756205080100095
metaSVM_score,368851,296354,72497,80.34518003204546,19.65481996795454
sift_score,368851,329286,39565,89.27344645941045,10.72655354058956
