,min,25%,50%,mean,75%,max,std
GERP++RS,-12.0,2.0,4.0,2.42458495231367,5.0,6.0,4.1997664787562226
polyphen2_HVAR_score,0.0,0.0,0.0,0.4662045060658579,1.0,1.0,0.4988958603826588
polyphen2_HDIV_score,0.0,0.0,1.0,0.6625756831942399,1.0,1.0,0.472843888404656
sift_score,0.0,0.0,0.0,0.1980909269828774,0.0,1.0,0.39858066313290824
metaSVM_score,-1.0,-1.0,-1.0,-0.5263157894736842,0.0,1.0,0.7911794437930637
alphamissense_score,1.0,1.0,1.0,1.0,1.0,1.0,0.0
metaRNN_score,,,,,,,
metaLR_score,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.3631365196012815
CADD_phred,1.0,24.0,30.0,28.441506357286087,32.0,49.0,4.54465134563243
varity_r_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnomad_ex_AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnomad_ge_AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ExAC_AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allele_AF,,,,,,,
