,GERP++RS,polyphen2_HVAR_score,polyphen2_HDIV_score,sift_score,metaSVM_score,alphamissense_score,metaRNN_score,metaLR_score,CADD_phred,varity_r_score,gnomad_ex_AF,gnomad_ge_AF,ExAC_AF,allele_AF
GERP++RS,1.0,0.5516302837094669,0.5598811990538355,-0.6028248537640556,,,,,0.3575447715971225,,,,,
polyphen2_HVAR_score,0.5516302837094669,1.0,1.0,-0.9385949002567869,1.0,,,,0.5967438140515654,,,,,
polyphen2_HDIV_score,0.5598811990538355,1.0,1.0,-0.951318075262472,1.0,,,,0.4618531650259749,,,,,
sift_score,-0.6028248537640556,-0.9385949002567869,-0.951318075262472,1.0,-0.5,,,,-0.4125191214343118,,,,,
metaSVM_score,,1.0,1.0,-0.5,1.0,,,,,,,,,
alphamissense_score,,,,,,,,,,,,,,
metaRNN_score,,,,,,,,,,,,,,
metaLR_score,,,,,,,,1.0,0.9912407071619301,,,,,
CADD_phred,0.3575447715971225,0.5967438140515654,0.4618531650259749,-0.4125191214343118,,,,0.9912407071619301,1.0,,,,,
varity_r_score,,,,,,,,,,,,,,
gnomad_ex_AF,,,,,,,,,,,,,,
gnomad_ge_AF,,,,,,,,,,,,,,
ExAC_AF,,,,,,,,,,,,,,
allele_AF,,,,,,,,,,,,,,
